End_of_day,"Settlement
price", Margin Account ,,,,,
,, Mark-to-market , Maintenance Check , Initial Margin , Maintenance Margin ,Cash Deposit,Ending Balance
2014/03/27,1083.50 ,0 ,,6338475 ,4225650 ,6338475 ,6338475 
2014/03/28,1081.50 ,-300000 ,6038475 ,6326775 ,4217850 ,0 ,6038475 
2014/03/31,1076.80 ,,,,,,
2014/04/01,1070.30 ,,,,,,
2014/04/02,1069.50 ,,,,,,
2014/04/03,1070.50 ,,,,,,
2014/04/04,1065.90 ,,,,,,
2014/04/07,1067.00 ,,,,,,
2014/04/08,1064.30 ,,,,,,
2014/04/09,1052.80 ,,,,,,
2014/04/10,1051.00 ,,,,,,
2014/04/11,1046.30 ,,,,,,
2014/04/14,1050.50 ,,,,,,
2014/04/15,1051.90 ,,,,,,
2014/04/16,1048.30 ,,,,,,
2014/04/17,1049.50 ,,,,,,
2014/04/18,1048.90 ,,,,,,
2014/04/21,1050.20 ,,,,,,
2014/04/22,1048.90 ,,,,,,
2014/04/23,1050.50 ,,,,,,
2014/04/24,1050.00 ,,,,,,
